,genre,rating,count
101,Drama,4,16577
74,Comedy,3,13392
80,Drama,3,13055
98,Comedy,4,12453
78,Action,3,10484
94,Action,4,10146
110,Thriller,4,9271
90,Thriller,3,9007
95,Adventure,4,8419
77,Adventure,3,8123
99,Crime,4,6390
128,Drama,5,6350
108,Romance,4,6284
88,Romance,3,6138
67,Comedy,2,5935
109,Sci-Fi,4,5834
89,Sci-Fi,3,5612
86,Crime,3,5173
125,Comedy,5,4429
71,Action,2,4325
64,Drama,2,4261
102,Fantasy,4,4028
81,Fantasy,3,3998
121,Action,5,3750
56,Thriller,2,3459
117,Thriller,5,3266
75,Children,3,3259
122,Adventure,5,3150
70,Adventure,2,3121
97,Children,4,3006
107,Mystery,4,2996
126,Crime,5,2687
96,Animation,4,2670
57,Sci-Fi,2,2456
83,Horror,3,2399
87,Mystery,3,2387
115,Romance,5,2384
58,Romance,2,2331
76,Animation,3,2330
38,Comedy,1,2212
116,Sci-Fi,5,2180
104,Horror,4,2121
111,War,4,1980
66,Crime,2,1754
63,Fantasy,2,1612
105,IMAX,4,1572
129,Fantasy,5,1518
34,Action,1,1481
106,Musical,4,1465
85,Musical,3,1454
84,IMAX,3,1358
91,War,3,1336
41,Drama,1,1280
61,Horror,2,1263
68,Children,2,1251
114,Mystery,5,1128
50,Thriller,1,1102
124,Children,5,1061
35,Adventure,1,1042
118,War,5,1015
123,Animation,5,985
49,Sci-Fi,1,880
59,Mystery,2,810
131,Horror,5,772
48,Romance,1,756
69,Animation,2,711
112,Western,4,701
92,Western,3,643
19,Comedy,0,632
113,Musical,5,584
100,Documentary,4,576
132,IMAX,5,558
44,Horror,1,548
39,Crime,1,525
42,Fantasy,1,500
37,Children,1,462
60,IMAX,2,458
15,Action,0,449
53,Musical,2,445
103,Film-Noir,4,408
22,Drama,0,405
73,Documentary,3,391
55,War,2,349
30,Thriller,0,347
16,Adventure,0,306
119,Western,5,295
29,Sci-Fi,0,281
47,Mystery,1,258
28,Romance,0,231
82,Film-Noir,3,214
36,Animation,1,212
54,Western,2,198
25,Horror,0,188
130,Film-Noir,5,180
23,Fantasy,0,178
18,Children,0,169
127,Documentary,5,153
20,Crime,0,152
46,Musical,1,144
45,IMAX,1,140
51,War,1,133
27,Mystery,0,95
17,Animation,0,80
52,Western,1,79
65,Documentary,2,75
26,IMAX,0,59
62,Film-Noir,2,50
31,War,0,46
13,Musical,0,46
40,Documentary,1,18
93,(no genres listed),4,16
32,Western,0,14
79,(no genres listed),3,12
43,Film-Noir,1,10
24,Film-Noir,0,8
72,(no genres listed),2,8
120,(no genres listed),5,7
21,Documentary,0,6
33,(no genres listed),1,2
14,(no genres listed),0,2
