,word,count
0,the,31
1,you,25
2,to,22
3,program,18
4,a,17
5,and,16
6,is,13
7,Python,13
8,in,11
9,of,9
10,an,8
11,it,6
12,be,6
13,first,6
14,command,6
15,will,6
16,are,5
17,programming,5
18,computer,5
19,can,5
20,what,4
21,version,4
22,one,4
23,used,4
24,which,4
25,this,4
26,on,4
27,also,4
28,like,4
29,get,4
30,If,4
31,World,4
32,lessons,4
33,see,4
34,button,4
35,we,4
36,for,4
37,more,3
38,would,3
39,box,3
40,want,3
41,print,3
42,language,3
43,by,3
44,Hello,3
45,above,3
46,The,3
47,output,3
48,Run,3
49,teach,3
50,have,3
51,code,3
52,,3
53,when,3
54,account,3
55,here,3
56,that,3
57,other,3
58,create,3
59,error,3
60,This,3
61,languages,2
62,any,2
63,A,2
64,make,2
65,since,2
66,You,2
67,or,2
68,run,2
69,logged,2
70,click,2
71,log,2
72,Press,2
73,with,2
74,"print(""Hello",2
75,cause,2
76,useful,2
77,about,2
78,every,2
79,ExampleThis,2
80,website,2
81,our,2
82,again,2
83,line,2
84,correct,2
85,after,2
86,as,2
87,below,2
88,examine,2
89,write,2
90,your,2
91,learn,2
92,so,2
93,exercise,2
94,edit,2
95,people,2
96,Once,2
97,try,2
98,quotes,2
99,Exercise,2
100,created,2
101,series,2
102,Here,2
103,enough,2
104,if,2
